matrix_id,matrix,k,method,variant,repeat,sweeps,threads,task_dir,factor_recorded,solver_recorded,factor_status,factor_finite,failure_origin_sweep,failure_origin_status,objective,masked_residual_norm,relative_masked_residual,t_factor,t_objective,n,nnz,L_nnz,U_nnz,S_nnz,solver_status,iterations,converged,true_rel_residual,nan_solution,nan_residual,breakdown,stagnated,outcome
AMD/G3_circuit,G3_circuit,0,ats_ic,async,2,2,32,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t32/AMD__G3_circuit_k0_t32,1,1,ok,1,,,0.9258725811656979,1.36078843408202,0.0009353389100517235,0.01073121326,0.004544141935,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,318.0,1,9.597934196910914e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,2,2,64,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t64/AMD__G3_circuit_k0_t64,1,1,ok,1,,,3.6987888050946105,2.719848821201138,0.0018694900457791493,0.09955812106,0.08878098498,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,317.0,1,9.604856746708412e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,2,2,128,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t128/AMD__G3_circuit_k0_t128,1,1,ok,1,,,7.078738008631255,3.7626421590768513,0.0025862547974693853,0.08725767699,0.07068191003,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,316.0,1,9.510538429646193e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,2,3,2,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t2/AMD__G3_circuit_k0_t2,1,1,ok,1,,,1.7718449525634244e-26,1.8824690980536307e-13,1.2939164900866004e-16,0.06154369097,0.02537159296,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,318.0,1,9.112132057478294e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,2,3,4,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t4/AMD__G3_circuit_k0_t4,1,1,ok,1,,,2.255832219259151e-05,0.0067168924649113615,4.6168608724997725e-06,0.03426304297,0.01350091305,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,317.0,1,9.795608402482102e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,2,3,8,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t8/AMD__G3_circuit_k0_t8,1,1,ok,1,,,0.0008771508037889879,0.04188438381518792,2.878926137574481e-05,0.01836421504,0.007290116046,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,316.0,1,9.78259698190124e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,2,3,16,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t16/AMD__G3_circuit_k0_t16,1,1,ok,1,,,0.0009292224675709792,0.0431096849343852,2.9631472982359087e-05,0.01519641117,0.003930744948,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,316.0,1,9.991052055677244e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,2,3,32,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t32/AMD__G3_circuit_k0_t32,1,1,ok,1,,,0.007939471081762102,0.1260116747112116,8.661421535206323e-05,0.01380424644,0.004299467895,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,319.0,1,9.854778093712312e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,2,3,64,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t64/AMD__G3_circuit_k0_t64,1,1,ok,1,,,0.04390938074088513,0.2963423045765998,0.00020369109644283284,0.1286678251,0.04232355789,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,318.0,1,9.68691690885949e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,2,3,128,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t128/AMD__G3_circuit_k0_t128,1,1,ok,1,,,0.10415926191660956,0.45641924130476696,0.0003137200941721763,0.1383237492,0.06478289491,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,319.0,1,9.54666178865216e-09,0,0,0,0,converged
