matrix,k,eligible,exclusion_reason,exclusion_evidence,sequential_finite_available,sequential_finite_selected,sequential_nonfinite_attempts,sequential_selected_min_seconds,sequential_selected_median_seconds,sequential_selected_max_seconds
Freescale/circuit5M_dc,2,1,,,3,3,0,0.304917131,0.307756365,0.312446729
Freescale/circuit5M_dc,3,1,,,3,3,0,0.432891633,0.433510251,0.43533019
VLSI/vas_stokes_4M,0,1,,,6,3,0,13.8080981,13.80935381,13.83014105
VLSI/vas_stokes_4M,1,1,,,3,3,0,69.94678642,69.95525944,70.11333458
VLSI/vas_stokes_4M,2,1,,,3,3,0,257.957345,257.9844468,258.8858203
VLSI/vas_stokes_4M,3,1,,,3,3,0,692.0383896,693.3707313,697.2267719
Rajat/rajat31,0,1,,,3,3,0,0.100683042,0.100706597,0.103459423
Rajat/rajat31,1,1,,,3,3,0,0.134874033,0.135376196,0.136505714
Rajat/rajat31,2,1,,,3,3,0,0.224530794,0.225046413,0.225340753
Rajat/rajat31,3,1,,,3,3,0,0.387372704,0.390648898,0.391091783
vanHeukelum/cage15,0,1,,,3,3,0,2.988415068,3.000164945,3.009957356
vanHeukelum/cage15,1,1,,,3,3,0,78.08693443,78.11480805,78.3222337
vanHeukelum/cage15,2,0,sequential_over_runtime_cutoff,minimum finite sequential factor time 2169.086 seconds; cutoff 1800 seconds,1,1,0,2169.085971,2169.085971,2169.085971
vanHeukelum/cage15,3,0,no_valid_sequential,no finite sequential_ilu result was observed,0,0,0,,,
Freescale/circuit5M,0,1,,,3,3,0,963.1938216,963.3549322,963.480407
Freescale/circuit5M,1,0,no_valid_sequential,no finite sequential_ilu result was observed,0,0,0,,,
Freescale/circuit5M,2,0,no_valid_sequential,no finite sequential_ilu result was observed,0,0,0,,,
Freescale/circuit5M,3,0,no_valid_sequential,no finite sequential_ilu result was observed,0,0,0,,,
VLSI/stokes,0,1,,,3,3,0,38.36593118,38.36800043,38.37470346
VLSI/stokes,1,1,,,3,3,0,178.9849468,179.0590576,179.3014464
VLSI/stokes,2,1,,,3,3,0,646.3188565,651.1650094,652.1545238
VLSI/stokes,3,0,no_valid_sequential,no finite sequential_ilu result was observed,0,0,0,,,
